row_id,city_name,lat_insee,lon_insee,cluster,cluster_nom,niveau_fragilite,has_gare,accessibilite_ord,dist_gare_min_m,nb_trajets_total,nb_lignes_total,amplitude_moy_h,revenu_median_uc,voitures_par_menage,taux_sans_voiture,part_65plus,distance_dom_trav_med_km,population,densite_pop_km2
8606,Cagny,49.8504,2.3386,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1745.553914187846,0.0,0.0,,28170.0,1.4802266054264006,0.056947193105355,0.3563156805334891,6.615415163875241,1191.0,223.09637538634448
971,Cairon,49.2317,-0.4394,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6186.218498704369,0.0,0.0,,30090.0,1.6539870923142097,0.022138794971214,0.2195859622843664,7.159649627513142,2066.0,347.0227597211724
775,Calmont,44.2643,2.5256,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3813.493946596493,0.0,0.0,,25540.0,1.6017116702931828,0.0308852326096449,0.2302254644721503,10.083822222823322,2192.0,71.11641744558393
6337,Calonne-sur-la-Lys,50.6157,2.6059,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,9078.556919854413,0.0,0.0,,23260.0,1.5210876103608788,0.0426722182140107,0.2010809598904226,9.908842703875266,1595.0,146.19883040935673
2860,Camarsac,44.8256,-0.3703,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,9008.089206181983,0.0,0.0,,26780.0,1.626917961382842,0.0213318817748792,0.226658467533734,14.518470705144876,1048.0,193.93042190969652
2861,Cambes,44.7408,-0.4644,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4212.0627205951705,0.0,0.0,,25260.0,1.539202214870338,0.0562014967302864,0.1857207060883098,12.372640598527807,1897.0,354.9709024905971
6086,Cambronne-lès-Clermont,49.3249,2.4019,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3142.099652982379,0.0,0.0,,27170.0,1.5969326045856378,0.0294109298647675,0.1824711290938719,9.733841439034988,1146.0,122.38359675352416
6085,Cambronne-lès-Ribécourt,49.5069,2.9035,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1704.771482883705,0.0,0.0,,22550.0,1.36318407960199,0.0945273631840796,0.2106666666666666,12.335140320930677,1831.0,263.28276655402976
6341,Campagne-lès-Hesdin,50.4009,1.8601,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3487.882487791247,0.0,0.0,,21560.0,1.375,0.1075581395348837,0.2273662551440329,11.586463954058493,1943.0,123.97748880182743
6342,Campagne-lès-Wardrecques,50.7127,2.3339,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3400.54626920912,0.0,0.0,,23910.0,1.5735935438129018,0.0307899924442324,0.1809857995634753,7.577157291331392,1301.0,279.34640242200413
5753,Camphin-en-Carembault,50.5091,2.9899,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2232.77181686034,0.0,0.0,,26920.0,1.5281507428773569,0.0384425961617466,0.1780390538885315,12.586713524611506,1737.0,233.59332974717591
8768,Campsas,43.889,1.3291,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4985.828397001923,0.0,0.0,,23920.0,1.65069664708404,0.0281097904797783,0.1201027401742796,15.026704165818238,1473.0,96.97807623938375
3075,Candillargues,43.6184,4.0641,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6006.490264341245,0.0,0.0,,25040.0,1.5253561062155334,0.0320074911986049,0.1284590467966903,11.301610801502212,2091.0,248.80120890496536
4026,Candé-sur-Beuvron,47.5062,1.2677,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2190.2210730276024,0.0,0.0,,24550.0,1.5550216319191763,0.0291088285993227,0.2116604463647666,8.8051864921604,1463.0,100.76243345064844
703,Canet,43.2248,2.8291,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5589.672406305648,0.0,0.0,,21930.0,1.4416572388413749,0.0647437298537264,0.2137202364688041,9.402110464875916,1873.0,133.76564943829854
